id,value
id_0,18.892934678833676
id_1,30.05641558761715
id_2,27.28776643840182
id_3,30.439877145014282
id_4,11.591843284719081
id_5,21.522479934880913
id_6,37.52064835447733
id_7,17.377069060135884
id_8,32.41895573482141
id_9,17.18140395371999
id_10,29.6170153627523
id_11,31.272885968011188
id_12,30.378156371811702
id_13,18.236033166234055
id_14,24.791752886376155
id_15,16.918552570222037
id_16,33.90264701038216
id_17,22.220736177942175
id_18,14.283821448003367
id_19,13.330059845713208
id_20,15.788243167792372
id_21,25.49588938563293
id_22,35.389915778481665
id_23,26.179961474322642
id_24,40.55051124727842
id_25,19.95046637726082
id_26,25.24574748057892
id_27,17.4800179025424
id_28,29.535476351369812
id_29,17.788251919671435
id_30,15.328771637755741
id_31,13.833091473579909
id_32,21.045424694855505
id_33,19.569607585710433
id_34,21.607463701100595
id_35,35.92993668357947
id_36,28.890423125377193
id_37,29.964434115717072
id_38,19.84745865000917
id_39,31.219685679981136
id_40,27.715353245960525
id_41,28.428984425888157
id_42,29.342041852366172
id_43,23.871886055175437
id_44,25.546824443110943
id_45,35.50282868879106
id_46,31.209424153108294
id_47,27.856295951939657
id_48,21.331002211256337
id_49,23.194116930886278
id_50,24.33421782122947
id_51,21.728963819460894
id_52,29.17933198031074
id_53,20.282540271480617
id_54,33.464664034855204
id_55,29.42190038634373
id_56,25.958877858857296
id_57,19.45302713098498
id_58,30.1987448103118
id_59,38.224602183988495
id_60,16.957826524250827
id_61,36.21726097430681
id_62,31.51604289143844
id_63,33.6966124872713
id_64,29.184350328947673
id_65,24.873211970208708
id_66,37.72417847567354
id_67,34.02109675095951
id_68,26.165412238323896
id_69,30.846078074217832
id_70,34.65949586745275
id_71,38.960089000572644
id_72,34.79599024132853
id_73,20.721299636067265
id_74,23.24111949770862
id_75,29.877554633841246
id_76,34.859164396778134
id_77,16.015471878832344
id_78,35.03476762563444
id_79,27.480664127470465
id_80,17.168825096415276
id_81,22.652317414494522
id_82,16.760298550263805
id_83,32.05925818506691
id_84,21.04389032079308
id_85,18.661077594856362
id_86,20.215631994793846
id_87,23.05288994304345
id_88,24.293506003612798
id_89,22.621359332405476
id_90,24.900124586619242
id_91,17.321012696892016
id_92,25.615467742195158
id_93,19.264972754061862
id_94,27.853155515109215
id_95,28.02085436360097
id_96,23.952409564239943
id_97,18.067301663531
id_98,17.530573959403856
id_99,20.900220460235005
id_100,19.16533372454449
id_101,25.306369954717344
id_102,23.781869483716008
id_103,20.01866891573117
id_104,16.58720714892786
id_105,22.848524719927717
id_106,25.411332616860854
id_107,22.353618788444024
id_108,23.96998032170539
id_109,19.887830284639236
id_110,17.884714105761436
id_111,16.262638921760495
id_112,22.45385434281867
id_113,24.45558469378873
id_114,20.223584735515967
id_115,21.58459855203085
id_116,21.135127999149784
id_117,25.550407805238073
id_118,34.38408224456618
id_119,17.583443008768167
id_120,16.72632480596054
id_121,20.219644053647002
id_122,18.105259021362976
id_123,18.470804260703176
id_124,22.771377792889467
id_125,19.991101036683503
id_126,26.851434659457624
id_127,15.93456809729579
id_128,16.73855415014518
id_129,19.808421344360287
id_130,16.844103579575865
id_131,22.182378733613746
id_132,26.676023704124688
id_133,28.538800176280255
id_134,24.462104010757827
id_135,18.66765115021535
id_136,18.23303746784813
id_137,22.595587072380855
id_138,29.1156119386885
id_139,29.833508979685714
id_140,25.511172291228245
id_141,13.46216876643616
id_142,17.715170298017533
id_143,18.5165487597754
id_144,20.19053006283309
id_145,15.659555124763205
id_146,23.825682273410635
id_147,18.910678196091936
id_148,26.74938661402758
id_149,27.639475242905956
id_150,24.9826756948218
id_151,31.444833455298188
id_152,23.093111113251506
id_153,15.653708335167739
id_154,27.75425486470736
id_155,28.72169785529785
id_156,20.55241492756528
id_157,20.491324861684927
id_158,18.31684957737985
id_159,23.27648056405791
id_160,35.82276613547016
id_161,18.764709230760843
id_162,30.11110820586984
id_163,17.017339005690054
id_164,20.345429616371227
id_165,25.217067650122257
id_166,25.83676844119041
id_167,20.021981308607415
id_168,44.09765791475384
id_169,29.40652677852476
id_170,19.305694695428702
id_171,33.02276798557478
id_172,22.927471883963857
id_173,15.750760247273936
id_174,36.27125969358657
id_175,20.649622715977486
id_176,18.456907947365863
id_177,32.5336486188092
id_178,26.35865633671729
id_179,29.170318859546125
id_180,22.48099715822408
id_181,22.579937504509573
id_182,33.879361006103665
id_183,21.836828655885153
id_184,11.920108521105167
id_185,22.90492720029873
id_186,27.82592910612073
id_187,20.868113063219337
id_188,19.776025615401906
id_189,18.87126245636476
id_190,15.70146328593467
id_191,12.351465642341951
id_192,20.73814318538189
id_193,40.7919436025222
id_194,31.0674204967767
id_195,22.089485053603227
id_196,41.57328856827227
id_197,12.677674864507855
id_198,22.784321528525222
id_199,33.0544874274746
id_200,37.04116371293476
id_201,24.964371808811258
id_202,27.942382188778826
id_203,16.340785883961388
id_204,39.53021894620771
id_205,21.857619623846364
id_206,14.01225082580744
id_207,22.38166194668379
id_208,32.020997391311994
id_209,22.396004449926064
id_210,21.65945203418492
id_211,41.44758742050152
id_212,19.34173534896769
id_213,44.352421089836746
id_214,23.714736011079964
id_215,48.386536503230374
id_216,34.23566616636777
id_217,35.513200903191915
id_218,26.806545693335234
id_219,26.826193503378203
id_220,23.901314166271323
id_221,44.59871950132189
id_222,19.604354680983736
id_223,26.218951439082215
id_224,24.85727217337157
id_225,14.23852424046972
id_226,19.18034838531285
id_227,28.4670739752988
id_228,23.030561567509928
id_229,12.288105148143046
id_230,21.72260579228569
id_231,19.450946901063297
id_232,19.611850270229187
id_233,17.787004443919667
id_234,19.146404498751927
id_235,24.89076748996933
id_236,14.837865143092088
id_237,13.458652531015009
id_238,19.419185748732456
id_239,15.741569907261026
